driver_age_band,driver_sex,driver_experience,driver_education,driver_vehicle_relation,vehicle_type,vehicle_owner,vehicle_service_year,vehicle_defect,weather,road_surface,light_condition,time_of_day,synthetic_severity_label
18-30,Male,Above 10yr,Elementary school,Owner,Bajaj,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Writing & reading,Owner,Automobile,Governmental,Unknown,No defect,Raining,Gravel,Darkness - unlit,Morning,Slight
Over 51,Male,2-5yr,Elementary school,Owner,Automobile,Governmental,2-5yrs,No defect,Raining,Asphalt,Darkness - lit,Morning,Slight
18-30,Male,Unknown,Junior high school,Owner,Motorcycle,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Above 10yr,Elementary school,Employee,Public (>45 seats),Owner,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
18-30,Female,Above 10yr,High school,Owner,Public (12 seats),Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Junior high school,Other,Automobile,Organization,2-5yrs,No defect,Raining,Unknown,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Above high school,Unknown,Automobile,Owner,Above 10yr,No defect,Unknown,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Junior high school,Owner,Public (>45 seats),Governmental,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Elementary school,Unknown,Automobile,Owner,Below 1yr,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Illiterate,Employee,Automobile,Owner,2-5yrs,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
Over 51,Male,Below 1yr,High school,Owner,Bajaj,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,High school,Owner,Automobile,Other,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Elementary school,Other,Bajaj,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Unknown,Male,5-10yr,Junior high school,Owner,Bajaj,Owner,Above 10yr,No defect,Cloudy,Asphalt,Darkness - lit,Evening,Slight
31-50,Male,5-10yr,Writing & reading,Employee,Automobile,Owner,Below 1yr,Unknown,Windy,Gravel,Daylight,Morning,Slight
18-30,Male,Above 10yr,High school,Other,Public (12 seats),Organization,Unknown,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Female,Above 10yr,Junior high school,Employee,Automobile,Owner,2-5yrs,5,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,High school,Owner,Automobile,Organization,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Above high school,Employee,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Over 51,Unknown,Above 10yr,Writing & reading,Owner,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Below 1yr,Above high school,Employee,Automobile,Owner,Above 10yr,5,Cloudy,Asphalt,Darkness - unlit,Morning,Slight
Over 51,Male,2-5yr,Elementary school,Owner,Bajaj,Owner,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Junior high school,Owner,Unknown,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Elementary school,Owner,Automobile,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Below 1yr,Junior high school,Owner,Automobile,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,High school,Owner,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
Unknown,Female,Below 1yr,High school,Employee,Automobile,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,High school,Owner,Automobile,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Female,No Licence,Junior high school,Employee,Motorcycle,Owner,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
Under 18,Male,5-10yr,Elementary school,Other,Motorcycle,Owner,2-5yrs,No defect,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Male,Below 1yr,High school,Employee,Automobile,Organization,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Elementary school,Other,Automobile,Owner,Below 1yr,No defect,Normal,Gravel,Daylight,Afternoon,Slight
Over 51,Male,1-2yr,Junior high school,Employee,Motorcycle,Organization,5-10yrs,No defect,Normal,Earth,Darkness - unlit,Night,Slight
18-30,Female,5-10yr,Illiterate,Employee,Motorcycle,Organization,Above 10yr,No defect,Windy,Asphalt,Unknown,Afternoon,Slight
31-50,Male,Above 10yr,High school,Owner,Automobile,Owner,1-2yr,No defect,Normal,Asphalt,Unknown,Morning,Slight
18-30,Male,Below 1yr,Illiterate,Other,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Female,Above 10yr,Junior high school,Other,Public (12 seats),Organization,5-10yrs,No defect,Windy,Asphalt,Daylight,Evening,Slight
31-50,Male,2-5yr,High school,Employee,Motorcycle,Other,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
Unknown,Male,Above 10yr,High school,Owner,Motorcycle,Owner,Above 10yr,No defect,Normal,Asphalt,Darkness - unlit,Evening,Slight
31-50,Male,Below 1yr,High school,Owner,Automobile,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Writing & reading,Owner,Automobile,Owner,5-10yrs,No defect,Unknown,Asphalt,Darkness - lit,Morning,Slight
31-50,Female,Unknown,Writing & reading,Unknown,Other,Owner,2-5yrs,No defect,Normal,Asphalt,Darkness - unlit,Morning,Slight
31-50,Male,2-5yr,High school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Night,Slight
18-30,Male,1-2yr,Above high school,Owner,Automobile,Governmental,5-10yrs,No defect,Unknown,Unknown,Daylight,Night,Slight
Unknown,Male,Above 10yr,Above high school,Other,Lorry,Owner,1-2yr,No defect,Unknown,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,High school,Owner,Automobile,Other,2-5yrs,Unknown,Normal,Asphalt,Darkness - lit,Evening,Slight
31-50,Male,5-10yr,Junior high school,Employee,Motorcycle,Governmental,5-10yrs,No defect,Normal,Gravel,Daylight,Morning,Slight
Over 51,Male,Above 10yr,Above high school,Owner,Bajaj,Owner,2-5yrs,No defect,Unknown,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Elementary school,Other,Automobile,Other,1-2yr,No defect,Normal,Unknown,Daylight,Afternoon,Slight
18-30,Male,Below 1yr,Elementary school,Employee,Motorcycle,Governmental,1-2yr,No defect,Cloudy,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,2-5yr,Above high school,Owner,Automobile,Owner,5-10yrs,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
18-30,Male,5-10yr,Junior high school,Other,Public (12 seats),Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Night,Slight
18-30,Male,1-2yr,High school,Employee,Bajaj,Organization,Unknown,No defect,Cloudy,Other,Daylight,Morning,Slight
18-30,Male,Above 10yr,Above high school,Employee,Automobile,Organization,5-10yrs,No defect,Normal,Gravel,Darkness - lit,Afternoon,Slight
31-50,Male,Above 10yr,Elementary school,Unknown,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,Above 10yr,Elementary school,Owner,Automobile,Organization,Above 10yr,No defect,Normal,Unknown,Daylight,Afternoon,Slight
31-50,Male,1-2yr,Junior high school,Owner,Automobile,Organization,5-10yrs,No defect,Normal,Gravel,Daylight,Afternoon,Slight
18-30,Male,Below 1yr,Writing & reading,Employee,Motorcycle,Governmental,Above 10yr,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
31-50,Male,No Licence,High school,Owner,Automobile,Other,Below 1yr,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Below 1yr,Elementary school,Other,Motorcycle,Organization,1-2yr,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,High school,Owner,Automobile,Owner,2-5yrs,No defect,Windy,Unknown,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Above high school,Other,Bicycle,Organization,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Junior high school,Owner,Public (12 seats),Governmental,5-10yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,Above 10yr,Above high school,Unknown,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,High school,Owner,Automobile,Owner,1-2yr,No defect,Normal,Asphalt,Unknown,Morning,Slight
31-50,Male,5-10yr,High school,Owner,Motorcycle,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,High school,Employee,Lorry,Owner,5-10yrs,7,Normal,Gravel,Unknown,Afternoon,Slight
18-30,Male,5-10yr,High school,Owner,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Junior high school,Employee,Automobile,Owner,2-5yrs,No defect,Other,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Elementary school,Employee,Motorcycle,Owner,Unknown,No defect,Normal,Gravel,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,High school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,No Licence,Junior high school,Employee,Public (>45 seats),Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Unknown,Male,2-5yr,Elementary school,Employee,Automobile,Owner,Unknown,No defect,Windy,Asphalt,Darkness - lit,Evening,Slight
18-30,Male,2-5yr,Elementary school,Owner,Bajaj,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Elementary school,Owner,Motorcycle,Owner,2-5yrs,No defect,Normal,Gravel,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Above high school,Owner,Automobile,Owner,Unknown,No defect,Raining,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,2-5yr,High school,Owner,Bajaj,Owner,Below 1yr,7,Normal,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,Above 10yr,Junior high school,Employee,Motorcycle,Owner,5-10yrs,No defect,Normal,Asphalt,Unknown,Morning,Slight
Unknown,Male,Unknown,Elementary school,Other,Public (12 seats),Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
Under 18,Male,Above 10yr,Above high school,Owner,Automobile,Organization,5-10yrs,No defect,Normal,Unknown,Daylight,Morning,Slight
Under 18,Male,Below 1yr,High school,Owner,Automobile,Owner,Above 10yr,No defect,Windy,Asphalt,Daylight,Evening,Slight
18-30,Male,5-10yr,Junior high school,Owner,Bicycle,Owner,Above 10yr,No defect,Normal,Gravel,Daylight,Morning,Slight
Under 18,Male,Above 10yr,High school,Owner,Bicycle,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,Junior high school,Other,Motorcycle,Governmental,Unknown,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Writing & reading,Other,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Over 51,Male,1-2yr,Junior high school,Other,Public (>45 seats),Organization,Above 10yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,5-10yr,Junior high school,Owner,Motorcycle,Other,5-10yrs,5,Windy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Elementary school,Owner,Motorcycle,Governmental,Below 1yr,No defect,Other,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,High school,Owner,Automobile,Governmental,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,2-5yr,Writing & reading,Employee,Automobile,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,Above high school,Employee,Public (>45 seats),Owner,2-5yrs,No defect,Windy,Asphalt,Daylight,Afternoon,Slight
31-50,Female,2-5yr,Above high school,Owner,Public (>45 seats),Owner,1-2yr,No defect,Normal,Other,Daylight,Morning,Slight
31-50,Male,Above 10yr,High school,Employee,Bicycle,Unknown,1-2yr,7,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Elementary school,Owner,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Junior high school,Employee,Public (>45 seats),Owner,Unknown,5,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Above high school,Owner,Bajaj,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
Over 51,Male,Unknown,High school,Employee,Motorcycle,Other,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,High school,Employee,Motorcycle,Owner,1-2yr,No defect,Raining,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,5-10yr,High school,Other,Motorcycle,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Elementary school,Employee,Automobile,Unknown,Above 10yr,No defect,Normal,Gravel,Darkness - lit,Afternoon,Slight
18-30,Male,No Licence,Writing & reading,Employee,Bajaj,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,High school,Employee,Automobile,Owner,Above 10yr,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
Over 51,Male,Above 10yr,High school,Employee,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,High school,Unknown,Motorcycle,Organization,1-2yr,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Elementary school,Owner,Lorry,Owner,Below 1yr,Unknown,Cloudy,Asphalt,Daylight,Afternoon,Slight
31-50,Male,1-2yr,Writing & reading,Other,Automobile,Owner,Below 1yr,No defect,Other,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,1-2yr,Unknown,Owner,Automobile,Owner,2-5yrs,No defect,Other,Asphalt,Daylight,Morning,Slight
Over 51,Male,Unknown,High school,Employee,Motorcycle,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,2-5yr,High school,Employee,Lorry,Owner,Below 1yr,No defect,Raining,Asphalt,Darkness - unlit,Evening,Slight
18-30,Male,Unknown,Elementary school,Employee,Bajaj,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Female,Above 10yr,High school,Employee,Motorcycle,Owner,2-5yrs,No defect,Windy,Unknown,Daylight,Morning,Slight
31-50,Male,2-5yr,High school,Employee,Automobile,Organization,2-5yrs,Unknown,Normal,Gravel,Daylight,Morning,Slight
31-50,Male,5-10yr,High school,Other,Public (12 seats),Other,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,Elementary school,Owner,Lorry,Organization,1-2yr,No defect,Windy,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Elementary school,Employee,Unknown,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,Elementary school,Owner,Motorcycle,Governmental,2-5yrs,No defect,Normal,Gravel,Daylight,Evening,Slight
18-30,Male,Below 1yr,Above high school,Owner,Motorcycle,Owner,2-5yrs,No defect,Normal,Unknown,Daylight,Morning,Slight
Unknown,Male,5-10yr,Writing & reading,Owner,Unknown,Owner,Unknown,No defect,Windy,Asphalt,Darkness - lit,Evening,Slight
31-50,Male,Above 10yr,Junior high school,Owner,Automobile,Organization,5-10yrs,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
Over 51,Male,Above 10yr,Writing & reading,Owner,Bajaj,Owner,2-5yrs,5,Cloudy,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,Junior high school,Employee,Motorcycle,Owner,2-5yrs,No defect,Raining,Asphalt,Darkness - unlit,Afternoon,Slight
31-50,Female,2-5yr,Elementary school,Owner,Automobile,Organization,1-2yr,Unknown,Normal,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,2-5yr,Elementary school,Owner,Automobile,Organization,5-10yrs,Unknown,Raining,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,Writing & reading,Employee,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Darkness - unlit,Afternoon,Slight
31-50,Male,2-5yr,Junior high school,Owner,Public (>45 seats),Organization,5-10yrs,No defect,Normal,Asphalt,Darkness - lit,Evening,Slight
31-50,Female,5-10yr,Elementary school,Employee,Motorcycle,Organization,Below 1yr,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
18-30,Male,2-5yr,High school,Owner,Public (12 seats),Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,2-5yr,Unknown,Employee,Motorcycle,Governmental,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Elementary school,Owner,Automobile,Unknown,Below 1yr,No defect,Normal,Earth,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Elementary school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,No Licence,High school,Employee,Public (12 seats),Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,Above 10yr,High school,Owner,Automobile,Owner,5-10yrs,No defect,Other,Asphalt,Daylight,Morning,Slight
18-30,Male,No Licence,Junior high school,Owner,Automobile,Governmental,1-2yr,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
Over 51,Male,2-5yr,Junior high school,Owner,Public (12 seats),Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
Over 51,Male,Above 10yr,High school,Owner,Automobile,Organization,1-2yr,No defect,Raining,Other,Daylight,Night,Slight
31-50,Male,Below 1yr,High school,Owner,Bajaj,Owner,Above 10yr,No defect,Raining,Asphalt,Daylight,Evening,Slight
18-30,Male,5-10yr,Writing & reading,Owner,Automobile,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,High school,Owner,Automobile,Other,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Female,Unknown,Junior high school,Employee,Public (12 seats),Governmental,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Elementary school,Employee,Bajaj,Other,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Over 51,Male,Above 10yr,High school,Employee,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
Over 51,Female,Above 10yr,Above high school,Other,Automobile,Owner,Above 10yr,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,High school,Employee,Bicycle,Owner,5-10yrs,No defect,Normal,Earth,Darkness - lit,Afternoon,Slight
18-30,Male,1-2yr,High school,Owner,Automobile,Owner,Below 1yr,No defect,Normal,Gravel,Darkness - lit,Morning,Slight
Over 51,Male,2-5yr,Illiterate,Owner,Automobile,Owner,5-10yrs,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
31-50,Male,1-2yr,Above high school,Other,Automobile,Governmental,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Unknown,Owner,Automobile,Owner,2-5yrs,No defect,Windy,Gravel,Daylight,Morning,Slight
18-30,Male,5-10yr,Junior high school,Owner,Public (>45 seats),Organization,1-2yr,No defect,Raining,Asphalt,Daylight,Evening,Slight
18-30,Male,5-10yr,High school,Owner,Bajaj,Governmental,Unknown,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Below 1yr,Junior high school,Owner,Automobile,Governmental,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,High school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Gravel,Daylight,Morning,Slight
31-50,Male,Above 10yr,Writing & reading,Employee,Automobile,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Elementary school,Other,Motorcycle,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Above 10yr,Elementary school,Unknown,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Under 18,Female,2-5yr,Junior high school,Other,Automobile,Owner,1-2yr,No defect,Raining,Asphalt,Unknown,Morning,Slight
18-30,Male,No Licence,High school,Employee,Automobile,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,High school,Unknown,Lorry,Owner,5-10yrs,Unknown,Normal,Asphalt,Daylight,Morning,Slight
Over 51,Male,Above 10yr,High school,Employee,Motorcycle,Other,1-2yr,No defect,Normal,Asphalt,Daylight,Night,Slight
31-50,Male,2-5yr,Illiterate,Owner,Lorry,Organization,5-10yrs,No defect,Normal,Asphalt,Darkness - lit,Evening,Slight
31-50,Male,5-10yr,High school,Employee,Motorcycle,Organization,1-2yr,No defect,Unknown,Asphalt,Daylight,Morning,Slight
31-50,Male,Below 1yr,Writing & reading,Employee,Public (12 seats),Owner,5-10yrs,No defect,Raining,Unknown,Daylight,Morning,Slight
Over 51,Male,Unknown,Elementary school,Other,Bicycle,Owner,2-5yrs,Unknown,Normal,Earth,Darkness - lit,Evening,Slight
31-50,Male,1-2yr,Elementary school,Other,Automobile,Organization,2-5yrs,No defect,Raining,Asphalt,Daylight,Morning,Slight
31-50,Male,2-5yr,Junior high school,Other,Automobile,Owner,Above 10yr,No defect,Normal,Other,Daylight,Night,Slight
31-50,Male,Below 1yr,High school,Owner,Automobile,Owner,5-10yrs,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Elementary school,Employee,Motorcycle,Organization,2-5yrs,No defect,Normal,Other,Daylight,Afternoon,Slight
31-50,Male,1-2yr,High school,Employee,Other,Owner,Below 1yr,Unknown,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Writing & reading,Owner,Bajaj,Governmental,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Below 1yr,Junior high school,Owner,Unknown,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Unknown,Male,1-2yr,Junior high school,Owner,Automobile,Organization,2-5yrs,5,Normal,Asphalt,Daylight,Night,Slight
18-30,Male,Unknown,High school,Employee,Other,Owner,2-5yrs,No defect,Cloudy,Asphalt,Darkness - lit,Morning,Slight
31-50,Unknown,Above 10yr,Writing & reading,Owner,Bajaj,Governmental,Above 10yr,No defect,Normal,Other,Daylight,Evening,Slight
31-50,Female,5-10yr,Illiterate,Owner,Motorcycle,Organization,Unknown,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,Unknown,Illiterate,Other,Motorcycle,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Under 18,Male,Above 10yr,High school,Owner,Motorcycle,Governmental,Unknown,No defect,Windy,Gravel,Daylight,Morning,Slight
31-50,Male,Below 1yr,Elementary school,Owner,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Night,Slight
31-50,Male,No Licence,High school,Employee,Public (12 seats),Organization,Below 1yr,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Junior high school,Employee,Automobile,Owner,Below 1yr,No defect,Raining,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Writing & reading,Owner,Motorcycle,Governmental,Above 10yr,5,Normal,Asphalt,Darkness - unlit,Morning,Slight
18-30,Male,Below 1yr,Writing & reading,Owner,Bajaj,Governmental,1-2yr,No defect,Normal,Asphalt,Darkness - unlit,Morning,Slight
18-30,Female,1-2yr,High school,Employee,Other,Owner,2-5yrs,No defect,Normal,Gravel,Daylight,Morning,Slight
31-50,Male,Below 1yr,Elementary school,Owner,Motorcycle,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Writing & reading,Owner,Automobile,Organization,Above 10yr,No defect,Normal,Gravel,Daylight,Morning,Slight
31-50,Male,5-10yr,Above high school,Owner,Motorcycle,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Elementary school,Other,Public (>45 seats),Owner,1-2yr,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
31-50,Female,5-10yr,Elementary school,Owner,Automobile,Owner,1-2yr,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,Elementary school,Owner,Motorcycle,Owner,Above 10yr,5,Unknown,Unknown,Daylight,Morning,Slight
31-50,Male,5-10yr,High school,Other,Bajaj,Governmental,Above 10yr,No defect,Raining,Earth,Daylight,Morning,Slight
31-50,Male,5-10yr,High school,Other,Other,Owner,Below 1yr,7,Cloudy,Asphalt,Daylight,Evening,Slight
18-30,Male,Below 1yr,Elementary school,Other,Motorcycle,Organization,2-5yrs,No defect,Cloudy,Earth,Darkness - unlit,Afternoon,Slight
18-30,Male,2-5yr,Above high school,Unknown,Automobile,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Below 1yr,High school,Employee,Automobile,Owner,Above 10yr,No defect,Normal,Earth,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Elementary school,Other,Motorcycle,Organization,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,Above high school,Unknown,Bajaj,Owner,Unknown,No defect,Normal,Asphalt,Darkness - lit,Evening,Slight
18-30,Male,2-5yr,Junior high school,Owner,Automobile,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,High school,Other,Motorcycle,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,Above high school,Other,Automobile,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,High school,Owner,Other,Owner,5-10yrs,No defect,Raining,Asphalt,Daylight,Evening,Slight
31-50,Male,5-10yr,High school,Owner,Lorry,Owner,5-10yrs,No defect,Normal,Asphalt,Darkness - unlit,Afternoon,Slight
31-50,Male,5-10yr,High school,Owner,Bajaj,Governmental,1-2yr,No defect,Normal,Asphalt,Unknown,Evening,Slight
18-30,Male,5-10yr,Above high school,Owner,Motorcycle,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
Over 51,Male,5-10yr,Elementary school,Owner,Automobile,Owner,5-10yrs,No defect,Normal,Unknown,Daylight,Morning,Slight
31-50,Male,Above 10yr,High school,Owner,Automobile,Organization,Unknown,No defect,Unknown,Asphalt,Unknown,Evening,Slight
31-50,Male,Unknown,Elementary school,Owner,Motorcycle,Organization,1-2yr,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
18-30,Female,Below 1yr,High school,Owner,Motorcycle,Organization,5-10yrs,No defect,Windy,Asphalt,Unknown,Afternoon,Slight
